service_date,day_type,bus,rail_boardings,total_rides
2024-07-27,A,426551,328573,755124
2024-07-28,U,305854,225835,531689
2024-07-29,W,499487,347579,847066
2024-07-30,W,564465,418450,982915
2024-07-31,W,553120,451191,1004311
2024-08-01,W,554928,506493,1061421
2024-08-02,W,540073,474521,1014594
2024-08-03,A,424966,401995,826961
2024-08-04,U,330850,304125,634975
2024-08-05,W,501014,373023,874037
2024-08-06,W,536195,418245,954440
2024-08-07,W,572289,435129,1007418
2024-08-08,W,555177,415675,970852
2024-08-09,W,534634,407471,942105
2024-08-10,A,429880,355517,785397
2024-08-11,U,335905,277892,613797
2024-08-12,W,511004,367635,878639
2024-08-13,W,561949,432482,994431
2024-08-14,W,566338,414324,980662
2024-08-15,W,519903,391361,911264
2024-08-16,W,526888,392699,919587
2024-08-17,A,388616,312275,700891
2024-08-18,U,319383,253295,572678
2024-08-19,W,498548,335708,834256
2024-08-20,W,521241,361335,882576
2024-08-21,W,528372,364450,892822
2024-08-22,W,529364,377301,906665
2024-08-23,W,519640,368235,887875
2024-08-24,A,404561,296195,700756
2024-08-25,U,325668,239814,565482
2024-08-26,W,596306,376308,972614
2024-08-27,W,583649,409119,992768
2024-08-28,W,637588,442189,1079777
2024-08-29,W,644581,469123,1113704
2024-08-30,W,606824,417283,1024107
2024-08-31,A,428266,353476,781742
2024-09-01,U,344967,290763,635730
2024-09-02,U,325776,239695,565471
2024-09-03,W,654167,437190,1091357
2024-09-04,W,653220,454140,1107360
2024-09-05,W,644748,447217,1091965
2024-09-06,W,616701,434618,1051319
2024-09-07,A,409867,335343,745210
2024-09-08,U,320438,267262,587700
2024-09-09,W,618371,405350,1023721
2024-09-10,W,646216,451939,1098155
2024-09-11,W,655564,452664,1108228
2024-09-12,W,637736,454382,1092118
2024-09-13,W,610703,407861,1018564
2024-09-14,A,412078,324266,736344
2024-09-15,U,308413,257266,565679
2024-09-16,W,607976,412568,1020544
2024-09-17,W,651158,466890,1118048
2024-09-18,W,655614,467380,1122994
2024-09-19,W,652616,478448,1131064
2024-09-20,W,622603,444850,1067453
2024-09-21,A,433756,343362,777118
2024-09-22,U,271129,219586,490715
2024-09-23,W,613582,407176,1020758
2024-09-24,W,582939,434551,1017490
2024-09-25,W,669879,472330,1142209
2024-09-26,W,659106,474890,1133996
2024-09-27,W,564419,418093,982512
2024-09-28,A,384642,312755,697397
2024-09-29,U,312714,246922,559636
2024-09-30,W,619994,406220,1026214
2024-10-01,W,675858,457355,1133213
2024-10-02,W,663546,452173,1115719
2024-10-03,W,670461,454449,1124910
2024-10-04,W,619444,409598,1029042
2024-10-05,A,431370,318359,749729
2024-10-06,U,336190,248486,584676
2024-10-07,W,623133,406230,1029363
2024-10-08,W,652969,459661,1112630
2024-10-09,W,661361,467517,1128878
2024-10-10,W,650278,485221,1135499
2024-10-11,W,624145,456909,1081054
2024-10-12,A,427732,369877,797609
2024-10-13,U,280965,466771,747736
2024-10-14,W,486971,384342,871313
2024-10-15,W,582685,444249,1026934
2024-10-16,W,652964,462121,1115085
2024-10-17,W,650082,466090,1116172
2024-10-18,W,627426,413404,1040830
2024-10-19,A,425987,354109,780096
2024-10-20,U,321239,239392,560631
2024-10-21,W,619582,403752,1023334
2024-10-22,W,642373,451887,1094260
2024-10-23,W,653689,461471,1115160
2024-10-24,W,654696,465121,1119817
2024-10-25,W,611655,408835,1020490
2024-10-26,A,427475,296326,723801
2024-10-27,U,312965,215594,528559
2024-10-28,W,611041,389359,1000400
2024-10-29,W,652674,444706,1097380
2024-10-30,W,657942,451915,1109857
2024-10-31,W,605292,425596,1030888
2024-11-01,W,618998,381782,1000780
2024-11-02,A,410559,281277,691836
2024-11-03,U,267845,227887,495732
2024-11-04,W,553515,383217,936732
2024-11-05,W,519574,379110,898684
2024-11-06,W,631969,427995,1059964
2024-11-07,W,644506,450680,1095186
2024-11-08,W,601808,396291,998099
2024-11-09,A,391070,288855,679925
2024-11-10,U,306889,232420,539309
2024-11-11,W,556273,358572,914845
2024-11-12,W,640199,437888,1078087
2024-11-13,W,633647,434362,1068009
2024-11-14,W,620448,439564,1060012
2024-11-15,W,603141,397040,1000181
2024-11-16,A,399551,316374,715925
2024-11-17,U,308995,233733,542728
2024-11-18,W,565097,383053,948150
2024-11-19,W,639269,439683,1078952
2024-11-20,W,625498,428958,1054456
2024-11-21,W,539977,414493,954470
2024-11-22,W,583958,431451,1015409
2024-11-23,A,384030,340935,724965
2024-11-24,U,301518,222021,523539
2024-11-25,W,512387,344627,857014
2024-11-26,W,518470,356826,875296
2024-11-27,W,477247,308919,786166
